﻿objectid;insee;annee;sante_plaf;educ_plaf;revenu_plaf;idh2;nomcom;pop
1025;92076;2013;0.81664987;0.9095;0.86997056;0.86537347;Vaucresson;8816
1065;93077;2013;0.59979919;0.51036804;0.47697361;0.52904694;Villemomble;29165
1198;95295;2013;0.7602848;0.52352199;0.68309445;0.65563375;Guiry-en-Vexin;171
1206;95313;2013;0.61926234;0.60692375;0.62235037;0.61617882;L'Isle-Adam;11976
1215;95353;2013;0.85332879;0.6263827;0.59824036;0.69265062;Maffliers;1713
1320;77001;2006;0.6540385;0.5644278;0.59978178;0.60608269;Achères-la-Forêt;1235
1373;77055;2006;0.49218639;0.37960611;0.48464527;0.45214592;Brou-sur-Chantereine;4258
1374;77056;2006;;0.23982311;0.50411312;;Burcy;159
1385;77068;2006;;0.26592514;0.42396496;;Cessoy-en-Montois;212
1447;77133;2006;;0.32213632;0.53210761;;Courcelles-en-Bassée;216
1623;77313;2006;;0.29116045;0.48429423;;Montmachoux;230
1711;77407;2006;0.49401035;0.37408227;0.54987368;0.47265543;Saint-Fargeau-Ponthierry;11932
1789;77486;2006;0.63323776;0.30932206;0.48310221;0.47522067;Vaudoy-en-Brie;808
1798;77496;2006;;0.21198478;0.57855838;;Vieux-Champagne;177
1947;78307;2006;0.69809262;0.47353678;0.62083323;0.59748754;Hermeray;919
2298;92020;2006;0.63362417;0.61102898;0.61561524;0.62008946;Châtillon;32077
2321;92072;2006;0.65646606;0.75668559;0.70636791;0.70650652;Sèvres;23726
2578;95607;2006;0.56076737;0.44995637;0.53366943;0.51479773;Taverny;26436
2720;77107;1999;0.3868283;0.16227717;0.46680459;0.33863669;Chaumes-en-Brie;2743
3102;77505;1999;0.4296364;0.24309307;0.48765825;0.38679591;Villemareuil;355
3301;78431;1999;0.60481408;0.58646042;0.7477417;0.64633874;Morainvilliers;2189
3305;78442;1999;0.4577272;0.5251913;0.66025263;0.54772371;Neauphle-le-Château;2770
3383;78650;1999;0.66185546;0.7657374;0.82443335;0.75067541;Le Vésinet;15928
